Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 15,63 mV
Zero level = 129

N 	Smpl.	Trig

0	147	0
1	92	0
2	65	0
3	85	0
4	137	0
5	183	0
6	191	0
7	153	0
8	99	0
9	66	0
10	80	0
11	129	0
12	179	0
13	193	0
14	161	0
15	106	0
16	68	0
17	75	0
18	120	0
19	172	0
20	194	0
21	168	0
22	114	0
23	72	0
24	71	0
25	113	0
26	167	0
27	195	0
28	175	0
29	123	0
30	76	0
31	68	0
32	104	0
33	160	0
34	193	0
35	180	0
36	131	0
37	80	0
38	66	0
39	99	0
40	153	0
41	191	0
42	184	0
43	139	0
44	87	0
45	65	0
46	92	0
47	145	0
48	187	0
49	188	0
50	147	0
51	92	0
52	65	0
53	84	0
54	137	0
55	183	0
56	191	0
57	153	0
58	99	0
59	67	0
60	79	0
61	129	0
62	179	0
63	193	0
64	161	0
65	107	0
66	68	0
67	75	0
68	120	0
69	173	0
70	194	0
71	168	0
72	115	0
73	71	0
74	71	0
75	113	0
76	167	0
77	193	0
78	175	0
79	123	0
80	76	0
81	68	0
82	104	0
83	160	0
84	193	0
85	180	0
86	131	0
87	80	0
88	65	0
89	98	0
90	153	0
91	191	0
92	184	0
93	139	0
94	85	0
95	65	0
96	91	0
97	145	0
98	188	0
99	188	0
100	146	0
101	92	0
102	65	0
103	85	0
104	137	0
105	184	0
106	191	0
107	153	0
108	99	0
109	67	0
110	80	0
111	129	0
112	179	0
113	193	0
114	161	0
115	107	0
116	68	0
117	75	0
118	120	0
119	173	0
120	195	0
121	168	0
122	113	0
123	72	0
124	71	0
125	113	0
126	167	0
127	193	0
128	175	0
129	123	0
130	76	0
131	68	0
132	104	0
133	160	0
134	193	0
135	180	0
136	131	0
137	80	0
138	66	0
139	99	0
140	152	0
141	191	0
142	184	0
143	139	0
144	87	0
145	65	0
146	91	0
147	144	0
148	188	0
149	188	0
150	147	0
151	92	0
152	65	0
153	85	0
154	137	0
155	184	0
156	191	0
157	154	0
158	99	0
159	67	0
160	79	0
161	129	0
162	179	0
163	192	0
164	161	0
165	107	0
166	68	0
167	75	0
168	121	0
169	173	0
170	195	0
171	167	0
172	114	0
173	71	0
174	71	0
175	113	0
176	167	0
177	194	0
178	174	0
179	123	0
180	76	0
181	68	0
182	104	0
183	160	0
184	193	0
185	179	0
186	131	0
187	80	0
188	66	0
189	99	0
190	153	0
191	191	0
192	184	0
193	139	0
194	86	0
195	65	0
196	91	0
197	144	0
198	188	0
199	188	0
200	146	0
201	93	0
202	65	0
203	84	0
204	136	0
205	184	0
206	191	0
207	155	0
208	99	0
209	67	0
210	80	0
211	129	0
212	179	0
213	193	0
214	161	0
215	107	0
216	68	0
217	75	0
218	121	0
219	173	0
220	194	0
221	168	0
222	115	0
223	71	0
224	71	0
225	113	0
226	167	0
227	195	0
228	175	0
229	123	0
230	76	0
231	68	0
232	105	0
233	160	0
234	193	0
235	180	0
236	131	0
237	80	0
238	65	0
239	99	0
240	152	0
241	191	0
242	184	0
243	139	0
244	86	0
245	65	0
246	91	0
247	145	0
248	188	0
249	188	0
250	147	0
251	92	0
252	65	0
253	85	0
254	137	0
255	184	0
256	191	0
257	154	0
258	99	0
259	67	0
260	79	0
261	129	0
262	179	0
263	193	0
264	161	0
265	107	0
266	68	0
267	75	0
268	120	0
269	173	0
270	194	0
271	167	0
272	114	0
273	71	0
274	71	0
275	113	0
276	167	0
277	193	0
278	175	0
279	123	0
280	75	0
281	68	0
282	104	0
283	160	0
284	193	0
285	179	0
286	130	0
287	80	0
288	65	0
289	99	0
290	152	0
291	191	0
292	184	0
293	139	0
294	87	0
295	65	0
296	91	0
297	145	0
298	187	0
299	188	0
300	147	0
301	92	0
302	65	0
303	85	0
304	137	0
305	184	0
306	191	0
307	153	0
308	100	0
309	67	0
310	80	0
311	129	0
312	179	0
313	193	0
314	161	0
315	107	0
316	68	0
317	75	0
318	120	0
319	173	0
320	194	0
321	167	0
322	115	0
323	71	0
324	71	0
325	113	0
326	167	0
327	195	0
328	174	0
329	123	0
330	76	0
331	68	0
332	104	0
333	160	0
334	192	0
335	180	0
336	131	0
337	80	0
338	67	0
339	98	0
340	152	0
341	191	0
342	184	0
343	139	0
344	85	0
345	65	0
346	91	0
347	144	0
348	187	0
349	188	0
350	146	0
351	92	0
352	65	0
353	85	0
354	137	0
355	184	0
356	191	0
357	155	0
358	100	0
359	66	0
360	79	0
361	129	0
362	179	0
363	193	0
364	161	0
365	107	0
366	68	0
367	75	0
368	121	0
369	173	0
370	194	0
371	168	0
372	114	0
373	72	0
374	71	0
375	113	0
376	167	0
377	195	0
378	173	0
379	122	0
380	76	0
381	68	0
382	104	0
383	160	0
384	193	0
385	180	0
386	131	0
387	80	0
388	65	0
389	99	0
390	152	0
391	191	0
392	184	0
393	139	0
394	85	0
395	65	0
396	91	0
397	145	0
398	187	0
399	188	0
400	147	0
401	92	0
402	65	0
403	85	0
404	137	0
405	184	0
406	191	0
407	153	0
408	99	0
409	67	0
410	80	0
411	129	0
412	179	0
413	192	0
414	161	0
415	107	0
416	68	0
417	75	0
418	121	0
419	172	0
420	194	0
421	168	0
422	114	0
423	71	0
