Oscilloscope data. 
Time step = 100,0 nS
Voltage step = 15,63 mV
Zero level = 163

N 	Smpl.	Trig

0	192	0
1	192	0
2	192	0
3	192	0
4	192	0
5	191	0
6	192	0
7	192	0
8	192	0
9	192	0
10	192	0
11	192	0
12	191	0
13	192	0
14	192	0
15	192	0
16	192	0
17	192	0
18	192	0
19	192	0
20	192	0
21	192	0
22	192	0
23	192	0
24	192	0
25	192	0
26	192	0
27	192	0
28	192	0
29	192	0
30	63	0
31	63	0
32	63	0
33	63	0
34	63	0
35	63	0
36	63	0
37	63	0
38	63	0
39	63	0
40	63	0
41	63	0
42	63	0
43	63	0
44	63	0
45	63	0
46	63	0
47	63	0
48	63	0
49	63	0
50	192	0
51	192	0
52	192	0
53	192	0
54	192	0
55	192	0
56	192	0
57	192	0
58	192	0
59	192	0
60	192	0
61	192	0
62	192	0
63	192	0
64	192	0
65	192	0
66	192	0
67	192	0
68	192	0
69	192	0
70	192	0
71	192	0
72	192	0
73	192	0
74	192	0
75	192	0
76	192	0
77	192	0
78	192	0
79	192	0
80	192	0
81	192	0
82	192	0
83	192	0
84	192	0
85	192	0
86	192	0
87	192	0
88	192	0
89	192	0
90	192	0
91	192	0
92	192	0
93	192	0
94	192	0
95	192	0
96	192	0
97	192	0
98	192	0
99	192	0
100	192	0
101	192	0
102	192	0
103	192	0
104	192	0
105	192	0
106	192	0
107	192	0
108	192	0
109	192	0
110	192	0
111	192	0
112	192	0
113	191	0
114	192	0
115	192	0
116	192	0
117	192	0
118	193	0
119	192	0
120	63	0
121	63	0
122	63	0
123	63	0
124	63	0
125	63	0
126	63	0
127	63	0
128	64	0
129	63	0
130	63	0
131	63	0
132	63	0
133	63	0
134	63	0
135	63	0
136	63	0
137	63	0
138	63	0
139	63	0
140	192	0
141	192	0
142	192	0
143	192	0
144	192	0
145	192	0
146	192	0
147	192	0
148	192	0
149	192	0
150	192	0
151	192	0
152	192	0
153	192	0
154	192	0
155	192	0
156	192	0
157	192	0
158	192	0
159	192	0
160	192	0
161	192	0
162	192	0
163	192	0
164	192	0
165	192	0
166	192	0
167	192	0
168	192	0
169	192	0
170	192	0
171	192	0
172	192	0
173	192	0
174	192	0
175	192	0
176	192	0
177	192	0
178	192	0
179	192	0
180	192	0
181	192	0
182	192	0
183	192	0
184	192	0
185	192	0
186	192	0
187	192	0
188	192	0
189	192	0
190	192	0
191	192	0
192	192	0
193	192	0
194	192	0
195	192	0
196	192	0
197	192	0
198	192	0
199	192	0
200	192	0
201	192	0
202	192	0
203	192	0
204	192	0
205	192	0
206	192	0
207	192	0
208	192	0
209	192	0
210	63	0
211	63	0
212	63	0
213	63	0
214	63	0
215	63	0
216	63	0
217	63	0
218	63	0
219	63	0
220	63	0
221	63	0
222	63	0
223	63	0
224	63	0
225	63	0
226	63	0
227	64	0
228	63	0
229	64	0
230	192	0
231	192	0
232	192	0
233	192	0
234	192	0
235	192	0
236	192	0
237	192	0
238	192	0
239	192	0
240	192	0
241	192	0
242	192	0
243	192	0
244	192	0
245	191	0
246	192	0
247	192	0
248	192	0
249	192	0
250	192	0
251	192	0
252	192	0
253	192	0
254	192	0
255	192	0
256	192	0
257	191	0
258	192	0
259	192	0
260	192	0
261	192	0
262	192	0
263	192	0
264	192	0
265	192	0
266	192	0
267	192	0
268	192	0
269	192	0
270	192	0
271	192	0
272	192	0
273	192	0
274	192	0
275	192	0
276	192	0
277	192	0
278	192	0
279	192	0
280	192	0
281	192	0
282	192	0
283	191	0
284	192	0
285	192	0
286	192	0
287	192	0
288	192	0
289	192	0
290	192	0
291	192	0
292	192	0
293	192	0
294	192	0
295	192	0
296	192	0
297	192	0
298	192	0
299	192	0
300	63	0
301	63	0
302	63	0
303	64	0
304	63	0
305	63	0
306	64	0
307	63	0
308	63	0
309	64	0
310	64	0
311	64	0
312	64	0
313	63	0
314	64	0
315	64	0
316	63	0
317	64	0
318	64	0
319	63	0
320	192	0
321	192	0
322	192	0
323	192	0
324	192	0
325	192	0
326	192	0
327	192	0
328	192	0
329	192	0
330	192	0
331	192	0
332	192	0
333	192	0
334	192	0
335	192	0
336	192	0
337	192	0
338	192	0
339	192	0
340	192	0
341	192	0
342	192	0
343	192	0
344	192	0
345	192	0
346	192	0
347	192	0
348	192	0
349	192	0
350	192	0
351	192	0
352	192	0
353	192	0
354	192	0
355	192	0
356	192	0
357	192	0
358	192	0
359	192	0
360	192	0
361	192	0
362	192	0
363	192	0
364	192	0
365	192	0
366	192	0
367	192	0
368	192	0
369	191	0
370	192	0
371	192	0
372	192	0
373	192	0
374	192	0
375	192	0
376	192	0
377	192	0
378	192	0
379	192	0
380	192	0
381	192	0
382	192	0
383	192	0
384	192	0
385	192	0
386	192	0
387	192	0
388	192	0
389	192	0
390	63	0
391	63	0
392	63	0
393	63	0
394	63	0
395	63	0
396	63	0
397	64	0
398	64	0
399	64	0
400	64	0
401	64	0
402	64	0
403	64	0
404	64	0
405	64	0
406	64	0
407	64	0
408	64	0
409	64	0
410	192	0
411	192	0
412	192	0
413	192	0
414	192	0
415	192	0
416	192	0
417	192	0
418	192	0
419	192	0
420	192	0
421	192	0
422	192	0
423	192	0
424	192	0
425	192	0
426	192	0
427	192	0
428	192	0
429	192	0
430	192	0
431	192	0
432	192	0
433	192	0
434	192	0
435	192	0
436	192	0
437	192	0
438	192	0
439	192	0
440	192	0
441	192	0
442	192	0
443	192	0
444	192	0
445	192	0
446	192	0
447	191	0
448	192	0
449	192	0
450	192	0
451	192	0
452	192	0
453	192	0
454	192	0
455	192	0
456	192	0
457	192	0
458	192	0
459	192	0
460	192	0
461	192	0
462	191	0
463	192	0
464	192	0
465	192	0
466	192	0
467	192	0
468	192	0
469	192	0
470	192	0
471	192	0
472	191	0
473	192	0
474	192	0
475	192	0
476	192	0
477	192	0
478	192	0
479	192	0
480	63	0
481	63	0
482	63	0
483	63	0
484	63	0
485	63	0
486	63	0
487	63	0
488	63	0
489	64	0
490	64	0
491	64	0
492	64	0
493	64	0
494	64	0
495	64	0
496	64	0
497	64	0
498	64	0
499	64	0
500	192	0
501	192	0
502	192	0
503	192	0
504	192	0
505	192	0
506	192	0
507	192	0
508	192	0
509	192	0
510	192	0
511	192	0
512	192	0
513	192	0
514	192	0
515	192	0
516	192	0
517	192	0
518	192	0
519	192	0
520	192	0
521	191	0
522	192	0
523	192	0
524	192	0
525	192	0
526	192	0
527	192	0
528	192	0
529	192	0
530	192	0
531	192	0
532	192	0
533	192	0
534	192	0
535	192	0
536	192	0
537	192	0
538	192	0
539	192	0
540	192	0
541	192	0
542	192	0
543	192	0
544	192	0
545	192	0
546	192	0
547	192	0
548	192	0
549	192	0
550	192	0
551	192	0
552	192	0
553	192	0
554	192	0
555	192	0
556	192	0
557	192	0
558	192	0
559	192	0
560	192	0
561	192	0
562	192	0
563	192	0
564	192	0
565	192	0
566	192	0
567	192	0
568	192	0
569	192	0
570	63	0
571	63	0
572	63	0
573	63	0
574	63	0
575	63	0
576	63	0
577	63	0
578	63	0
579	63	0
580	63	0
581	63	0
582	63	0
583	63	0
584	63	0
585	63	0
586	63	0
587	63	0
588	63	0
589	63	0
590	192	0
591	192	0
592	192	0
593	192	0
594	192	0
595	192	0
596	192	0
597	192	0
598	192	0
599	192	0
600	192	0
601	192	0
602	192	0
603	192	0
604	192	0
605	192	0
606	192	0
607	193	0
608	192	0
609	192	0
610	192	0
611	192	0
612	192	0
613	192	0
614	192	0
615	192	0
616	192	0
617	192	0
618	192	0
619	192	0
620	192	0
621	192	0
622	192	0
623	192	0
624	192	0
625	192	0
626	192	0
627	192	0
628	192	0
629	192	0
630	192	0
631	192	0
632	192	0
633	192	0
634	192	0
635	192	0
636	192	0
637	192	0
638	192	0
639	192	0
640	192	0
641	192	0
642	192	0
643	192	0
644	192	0
645	192	0
646	192	0
647	192	0
648	192	0
649	192	0
650	192	0
651	192	0
652	192	0
653	192	0
654	192	0
655	192	0
656	192	0
657	192	0
658	192	0
659	192	0
660	63	0
661	63	0
662	63	0
663	63	0
664	63	0
665	63	0
666	63	0
667	63	0
668	63	0
669	63	0
670	63	0
671	63	0
672	63	0
673	63	0
674	63	0
675	63	0
676	63	0
677	63	0
678	63	0
679	63	0
680	192	0
681	192	0
682	192	0
683	192	0
684	192	0
685	192	0
686	192	0
687	192	0
688	192	0
689	192	0
690	192	0
691	192	0
692	192	0
693	192	0
694	193	0
695	192	0
696	192	0
697	192	0
698	192	0
699	192	0
700	192	0
701	192	0
702	192	0
703	192	0
704	192	0
705	192	0
706	192	0
707	192	0
708	192	0
709	192	0
710	192	0
711	192	0
712	192	0
713	192	0
714	192	0
715	192	0
716	192	0
717	192	0
718	192	0
719	192	0
720	192	0
721	192	0
722	192	0
723	192	0
724	191	0
725	192	0
726	192	0
727	192	0
728	192	0
729	192	0
730	192	0
731	192	0
732	192	0
733	192	0
734	192	0
735	192	0
736	192	0
737	192	0
738	192	0
739	192	0
740	192	0
741	192	0
742	192	0
743	192	0
744	192	0
745	192	0
746	192	0
747	192	0
748	192	0
749	192	0
750	63	0
751	63	0
752	63	0
753	63	0
754	63	0
755	63	0
756	63	0
757	63	0
758	63	0
759	63	0
760	63	0
761	63	0
762	63	0
763	63	0
764	63	0
765	63	0
766	63	0
767	63	0
768	63	0
769	63	0
770	192	0
771	192	0
772	192	0
773	192	0
774	192	0
775	192	0
776	192	0
777	192	0
778	192	0
779	192	0
780	192	0
781	192	0
782	192	0
783	192	0
784	192	0
785	192	0
786	192	0
787	192	0
788	192	0
789	192	0
790	192	0
791	192	0
792	192	0
793	192	0
794	192	0
795	192	0
796	192	0
797	192	0
798	192	0
799	192	0
800	192	0
801	192	0
802	192	0
803	192	0
804	192	0
805	192	0
806	192	0
807	192	0
808	192	0
809	192	0
810	192	0
811	192	0
812	192	0
813	191	0
814	192	0
815	192	0
816	192	0
817	192	0
818	192	0
819	192	0
820	192	0
821	192	0
822	192	0
823	192	0
824	192	0
825	192	0
826	192	0
827	192	0
828	192	0
829	192	0
830	192	0
831	192	0
832	192	0
833	192	0
834	192	0
835	192	0
836	192	0
837	192	0
838	192	0
839	192	0
840	64	0
841	64	0
842	64	0
843	64	0
844	64	0
845	64	0
846	64	0
847	64	0
848	64	0
849	64	0
850	64	0
851	64	0
852	64	0
853	64	0
854	64	0
855	64	0
856	64	0
857	64	0
858	64	0
859	64	0
860	192	0
861	192	0
